os_name,os_family,vendor,os_generation,device_type,ttl,window_size,df_flag,tcp_options,ip_id_sequence,icmp_response
3com OfficeConnect 812 ADSL router,embedded,3Com,,broadband router,250,1024,0,O1=M5B4%O2=M5B4%O3=M5B4%O4=M5B4%O5=M5B4%O6=M5B4,incremental,0
3Com X5 Unified Security Platform firewall,embedded,3Com,,firewall,59,8192,0,O1=M5B4NW0NNT11%O2=M5B4NW0NNT11%O3=M5B4NW0NNT11%O4=M5B4NW0NNT11%O5=M5B4NW0NNT11%O6=M5B4NNT11,,0
3Com 3016 router,embedded,3Com,,router,59,4380,0,O1=M5B4NW0NNT11%O2=M5B4NW0NNT11%O3=M5B4NW0NNT11%O4=M5B4NW0NNT11%O5=M5B4NW0NNT11%O6=M5B4NNT11,incremental,0
3Com OfficeConnect 3CR858-91 router,embedded,3Com,,router,59,6000,1,O1=M578%O2=M578%O3=M280%O4=M578%O5=M218%O6=M109,incremental,0
3Com 3924 switch,embedded,3Com,,switch,25,8192,0,O1=M5B4NW0NNT11%O2=M5B4NW0NNT11%O3=M5B4NW0NNT11%O4=M5B4NW0NNT11%O5=M5B4NW0NNT11%O6=M5B4NNT11,incremental,0
3Com 4200G or Huawei Quidway S5600 switch,embedded,3Com,,switch,250,8192,0,O1=M5B4%O2=M5B4%O3=M5B4%O4=M5B4%O5=M5B4%O6=M5B4,incremental,0
"3Com 4210, or Huawei Quidway S3928P-EI or S5624F switch (VRP 3.10)",embedded,3Com,,switch,251,8192,0,O1=M200%O2=M200%O3=M200%O4=M200%O5=M200%O6=M200,incremental,0
3Com 4500G switch,embedded,3Com,,switch,250,8192,0,O1=M5B4%O2=M5B4%O3=M5B4%O4=M5B4%O5=M5B4%O6=M5B4,incremental,0
3Com 5500-EI switch,embedded,3Com,,switch,250,8192,0,O1=M200%O2=M200%O3=M200%O4=M200%O5=M200%O6=M200,incremental,0
3Com 5500-EI switch,embedded,3Com,,switch,251,8192,0,O1=M5B4%O2=M5B4%O3=M5B4%O4=M5B4%O5=M5B4%O6=M5B4,incremental,0
3Com 8810 or SuperStack 3 Switch 4500 or Huawei Quidway AR 18-32 ADSL router,embedded,3Com,,switch,251,8192,0,O1=M5B4%O2=M5B4%O3=M5B4%O4=M5B4%O5=M5B4%O6=M5B4,incremental,0
3Com Baseline Switch 2226-SFP Plus,embedded,3Com,,switch,59,14600,0,O1=M5B4NW0NNT11%O2=M5B4NW0NNT11%O3=M5B4NW0NNT11%O4=M5B4NW0NNT11%O5=M5B4NW0NNT11%O6=M5B4NNT11,incremental,0
3Com Baseline Switch 2250-SFP Plus,embedded,3Com,,switch,59,17376,0,O1=M5A8NW0NNT11%O2=M5A8NW0NNT11%O3=M5A8NW0NNT11%O4=M5A8NW0NNT11%O5=M5A8NW0NNT11%O6=M5A8NNT11,incremental,0
3Com Baseline Switch 2924-SFP or Cisco ESW-520 switch or Allied Telesis AT-8000 series switch,embedded,3Com,,switch,59,256,0,O1=%O2=%O3=%O4=%O5=%O6=,,0
3Com SuperStack 3 Switch 3300,embedded,3Com,,switch,250,1024,0,O1=M218%O2=M218%O3=M218%O4=M218%O5=M218%O6=M218,incremental,0
3Com SuperStack 3 Switch 3300,embedded,3Com,,switch,250,1024,0,O1=M59C%O2=M59C%O3=M59C%O4=M59C%O5=M59C%O6=M59C,incremental,0
3Com SuperStack 3 Switch 3300 XM,embedded,3Com,,switch,250,1024,0,O1=M218%O2=M218%O3=M218%O4=M218%O5=M218%O6=M218,incremental,0
3Com SuperStack 3 Switch 3300 XM,embedded,3Com,,switch,250,1024,0,O1=M218%O2=M218%O3=M218%O4=M218%O5=M218%O6=M218,incremental,0
"3Com SuperStack 3 Switch 3300 XM, 4200, or 4400 SE",embedded,3Com,,switch,250,1024,0,O1=M218%O2=M218%O3=M218%O4=M218%O5=M218%O6=M218,incremental,0
3Com SuperStack 3 Switch 3812,embedded,3Com,,switch,59,8192,0,O1=M5B4NW0NNT11%O2=M5B4NW0NNT11%O3=M5B4NW0NNT11%O4=M5B4NW0NNT11%O5=M5B4NW0NNT11%O6=M5B4NNT11,incremental,0
3Com SuperStack 3 Switch 3870,embedded,3Com,,switch,59,,0,R=N,incremental,0
3Com SuperStack 3 Switch 4200 or 4226T,embedded,3Com,,switch,250,1024,0,O1=M598%O2=M598%O3=M598%O4=M598%O5=M598%O6=M598,incremental,0
3Com SuperStack 3 Switch 4400,embedded,3Com,,switch,250,1024,0,O1=M594%O2=M594%O3=M594%O4=M594%O5=M594%O6=M594,incremental,0
3Com SuperStack 3 Switch 4400 SE,embedded,3Com,,switch,250,1024,0,O1=M594%O2=M594%O3=M594%O4=M594%O5=M594%O6=M594,incremental,0
3Com SuperStack 3 Switch 4400 SE,embedded,3Com,,switch,250,1024,0,O1=M218%O2=M218%O3=M218%O4=M218%O5=M218%O6=M218,incremental,0
3Com SuperStack 3 Switch 4500,embedded,3Com,,switch,251,8192,0,O1=M5B4%O2=M5B4%O3=M5B4%O4=M5B4%O5=M5B4%O6=M5B4,incremental,0
3Com SuperStack 3 Switch 4500,embedded,3Com,,switch,251,8192,0,O1=M5B4%O2=M5B4%O3=M5B4%O4=M5B4%O5=M5B4%O6=M5B4,incremental,0
3Com SuperStack II Switch 3300,embedded,3Com,,switch,250,1024,0,O1=M218%O2=M218%O3=M218%O4=M218%O5=M218%O6=M218,incremental,0
3Com SuperStack II Switch 3900-36,embedded,3Com,,switch,59,4096,0,O1=M5B4%O2=M5B4%O3=M5B4%O4=M5B4%O5=M5B4%O6=M5B4,incremental,0
3Com SuperStack Switch 4200,embedded,3Com,,switch,250,1024,0,O1=M598%O2=M598%O3=M598%O4=M598%O5=M598%O6=M598,incremental,0
3Com Switch 4200,embedded,3Com,,switch,250,1024,0,O1=M598%O2=M598%O3=M598%O4=M598%O5=M598%O6=M598,incremental,0
3Com Switch 4200G,embedded,3Com,,switch,250,8192,0,O1=M5B4%O2=M5B4%O3=M5B4%O4=M5B4%O5=M5B4%O6=M5B4,incremental,0
3Com 7760 WAP,embedded,3Com,,WAP,59,8192,0,O1=M5B4NW0NNT11%O2=M5B4NW0NNT11%O3=M5B4NW0NNT11%O4=M5B4NW0NNT11%O5=M5B4NW0NNT11%O6=M5B4NNT11,incremental,0
3Com OfficeConnect 3CRWDR100A-72 wireless ADSL modem,embedded,3Com,,WAP,59,6000,1,O1=M578%O2=M578%O3=M280%O4=M578%O5=M218%O6=M109,incremental,0
3Com OfficeConnect 3CRWE554G72T wireless broadband router,embedded,3Com,,WAP,59,8760,0,O1=M5B4NW0NNT11%O2=M5B4NW0NNT11%O3=M5B4NW0NNT11%O4=M5B4NW0NNT11%O5=M5B4NW0NNT11%O6=M5B4NNT11,incremental,0
3Com OfficeConnect 3CRWER100-75 wireless broadband router,embedded,3Com,,WAP,59,5760,1,O1=M5ACST11%O2=M5ACST11%O3=M5ACNNT11%O4=M5ACST11%O5=M5ACST11%O6=M5ACST11,constant,0
3Com OfficeConnect 3CRWER100-75 wireless router,embedded,3Com,,WAP,59,5792,1,O1=M5B4ST11%O2=M5B4ST11%O3=M5B4NNT11%O4=M5B4ST11%O5=M5B4ST11%O6=M5B4ST11,constant,0
3Com WX1200 Wireless LAN Switch,embedded,3Com,,WAP,250,11680,0,O1=M5B4%O2=M578%O3=M280%O4=M5B4%O5=M218%O6=M109,constant,0
"3Com WX2200, Enterasys RBT-8400, or Trapeze Networks MX WAP",embedded,3Com,,WAP,250,11680,0,O1=M5B4%O2=M578%O3=M280%O4=M5B4%O5=M218%O6=M109,constant,0
"Wireless broadband router (3Com OfficeConnect 3CRWDR100A-72, Philips SNB6500, Sinus 154, SMC SMCWEBT-G, or SMC SMCWBR14-G2)",embedded,3Com,,WAP,59,6000,1,O1=M578%O2=M578%O3=M280%O4=M578%O5=M218%O6=M109,incremental,0
3M CT-30 thermostat,embedded,3M,,specialized,59,2896,0,O1=M5B4NW0NNSNNT11%O2=M578NW0NNSNNT11%O3=M280NW0NNT11%O4=M5B4NW0NNSNNT11%O5=%O6=,incremental,0
3M Filtrete 3M-50 thermostat,embedded,3M,,specialized,59,2896,0,O1=M5B4NW0NNSNNT11%O2=M578NW0NNSNNT11%O3=M280NW0NNT11%O4=M5B4NW0NNSNNT11%O5=M218NW0NNSNNT11%O6=M109N,incremental,0
4G Systems XSBoxGO+ WAP,embedded,4G Systems,,WAP,250,16384,0,O1=M5B4|M5B4W0L%O2=M578W0L%O3=M280W0L%O4=M5B4W0L%O5=M218W0L%O6=M109,incremental,0
A-Tec MS347S or Mapower KC31N NAS device,embedded,A-Tec,,storage-misc,27,32768,0,O1=M5B4%O2=M578%O3=M280%O4=M5B4%O5=M218%O6=M109,incremental,0
Aastra AIP6500 interface card,embedded,Aastra,,telecom-misc,59,8192,1,O1=M5B4%O2=M5B4%O3=M5B4%O4=M5B4%O5=M5B4%O6=M5B4,incremental,0
Aastra 57i VoIP phone,embedded,Aastra,,VoIP phone,59,0,0,O1=%O2=%O3=%O4=%O5=%O6=,,0
Aastra 6739i VoIP phone,embedded,Aastra,,VoIP phone,59,65535,1,O1=NNM5B4SNW0%O2=NNM5B4SNW0%O3=M5B4NW0%O4=NNM5B4SNW0%O5=NNM5B4SNW0%O6=NNM5B4S,incremental,0
Aastra A510 VoIP phone,embedded,Aastra,,VoIP phone,59,,0,R=N,incremental,0
Aastra Dialog 4425 IP phone,embedded,Aastra,,VoIP phone,59,16384,1,O1=M5B4NW0NNT11%O2=M5B4NW0NNT11%O3=M5B4NW0NNT11%O4=M5B4NW0NNT11%O5=M5B4NW0NNT11%O6=M5B4NNT11,incremental,0
Aastra RFP L32 IP DECT WAP,embedded,Aastra,,WAP,59,5792,1,O1=M5B4ST11NW0%O2=M5B4ST11NW0%O3=M5B4NNT11NW0%O4=M5B4ST11NW0%O5=M5B4ST11NW0%O6=M5B4ST11,constant,0
Aceex BR41 broadband router,embedded,Aceex,,broadband router,59,2048,1,O1=M578%O2=M578%O3=M280%O4=M578%O5=M218%O6=M109,incremental,0
Acer S5200 projector,embedded,Acer,,media device,99,2000,0,O1=M5B4%O2=M5B4%O3=%O4=%O5=%O6=,,0
Acme Packet Net-Net 4250 VoIP session border controller,embedded,Acme Packet,,firewall,59,65535,1,O1=M5ACNW1NNT11%O2=M5ACNW1NNT11%O3=M5ACNW1NNT11%O4=M5ACNW1NNT11%O5=M5ACNW1NNT11%O6=M5ACNNT11,incremental,0
Acorp W400G or W422G wireless ADSL modem (MontaVista embedded Linux 2.4.17),embedded,Acorp,,WAP,59,5792,1,O1=M5B4ST11%O2=M5B4ST11%O3=M5B4NNT11%O4=M5B4ST11%O5=M5B4ST11%O6=M5B4ST11,constant,0
Actiontec GT701 DSL modem,embedded,Actiontec,,broadband router,59,5792,1,O1=M5B4ST11NW0%O2=M5B4ST11NW0%O3=M5B4NNT11NW0%O4=M5B4ST11NW0%O5=M5B4ST11NW0%O6=M5B4ST11,constant,0
Actiontec MI424WR-GEN3I WAP,embedded,Actiontec,,WAP,123,64240,0,O1=M5B4%O2=M5B4%O3=M5B4%O4=M5B4%O5=M5B4%O6=M5B4,incremental,0
Actiontec R3010UW wireless broadband router,embedded,Actiontec,,WAP,150,4500,0,O1=M109|M5A0%O2=M109|M578%O3=M109|M280%O4=M109|M280%O5=M109|M218%O6=M109,incremental,0
Adaptec RAID 4000 I/O controller,embedded,Adaptec,,storage-misc,25,8760,0,O1=M5B4%O2=M5B4%O3=M5B4%O4=M5B4%O5=M5B4%O6=M5B4,incremental,0
Adaptec Snap Server 100 NAS device,embedded,Adaptec,,storage-misc,27,8760,0,O1=M5B4%O2=M5B4%O3=M5B4%O4=M5B4%O5=M5B4%O6=M5B4,incremental,0
Adaptec Snap Server 100 NAS device,embedded,Adaptec,,storage-misc,25,8760,0,O1=M5B4%O2=M5B4%O3=M5B4%O4=M5B4%O5=M5B4%O6=M5B4,incremental,0
ADIC Scalar 1000 tape library remote management unit,embedded,ADIC,,storage-misc,59,1400,0,O1=M200NW0%O2=M200NW0%O3=M200NW0%O4=M200NW0%O5=M200NW0%O6=M200,,0
Adtran NetVanta switch (AOS 10.4 - 10.9),AOS,Adtran,10.X,switch,251,3500,0,O1=M5B4%O2=M5B4%O3=M5B4%O4=M5B4%O5=M5B4%O6=M5B4,incremental,0
Adtran AOS 18.02.01.00.E,AOS,Adtran,18.X,switch,251,,0,R=N,incremental,0
Adtran NetVanta 1224R or 3430 router,embedded,Adtran,,router,250,3500,0,O1=M5B4%O2=M5B4%O3=M5B4%O4=M5B4%O5=M5B4%O6=M5B4,incremental,0
Adtran NetVanta 3200 or Total Access 908 ADSL router,embedded,Adtran,,router,250,3500,0,O1=%O2=%O3=M5B4%O4=M5B4%O5=M5B4%O6=M5B4,incremental,0
Adtran Total Access 5000 router,embedded,Adtran,,router,250,1024,0,O1=M218%O2=M218%O3=M218%O4=M218%O5=M218%O6=M218,incremental,0
Adtran Total Access 624 router,embedded,Adtran,,router,131,4096,0,O1=M3F1%O2=M3F1%O3=M3EE%O4=M5B4%O5=M3EE%O6=M3ED,incremental,0
Adtran Total Access 904 router,embedded,Adtran,,router,250,0,0,O1=%O2=%O3=%O4=%O5=%O6=,,0
Adtran 424RG FTTH gateway,embedded,Adtran,,specialized,59,13636,1,O1=M7A8ST11NW5%O2=M7A8ST11NW5%O3=M7A8NNT11NW5%O4=M7A8ST11NW5%O5=M7A8ST11NW5%O6=M7A8ST11,constant,0
Adtran MX2800 multiplexer,embedded,Adtran,,specialized,250,4096,0,O1=M218%O2=M218%O3=M218%O4=M218%O5=M218%O6=M218,incremental,0
Advanced Illumination DCS-100E lighting controller,embedded,Advanced Illumination,,specialized,250,4096,0,O1=M5B4%O2=M5B4%O3=M5B4%O4=M5B4%O5=M5B4%O6=M5B4,incremental,0
Aerohive HiveOS 3.4,HiveOS,Aerohive,3.X,WAP,59,5792,0,O1=M5B4ST11NW2%O2=M5B4ST11NW2%O3=M5B4NNT11NW2%O4=M5B4ST11NW2%O5=M5B4ST11NW2%O6=M5B4ST11,incremental,0
Aerohive HiveOS 5.1,HiveOS,Aerohive,5.X,WAP,59,5792,0,O1=M5B4ST11NW2%O2=M5B4ST11NW2%O3=M5B4NNT11NW2%O4=M5B4ST11NW2%O5=M5B4ST11NW2%O6=M5B4ST11,incremental,0
Aerohive HiveOS 6.1,HiveOS,Aerohive,6.X,WAP,59,5792,0,O1=M5B4ST11NW4%O2=M5B4ST11NW4%O3=M5B4NNT11NW4%O4=M5B4ST11NW4%O5=M5B4ST11NW4%O6=M5B4ST11,incremental,0
Aerohive HiveOS 6.8,HiveOS,Aerohive,6.X,WAP,59,5792,0,O1=M5B4ST11NW4%O2=M5B4ST11NW4%O3=M5B4NNT11NW4%O4=M5B4ST11NW4%O5=M5B4ST11NW4%O6=M5B4ST11,incremental,0
Aerohive HiveOS 7.1,HiveOS,Aerohive,7.X,WAP,59,5792,0,O1=M5B4ST11NW5%O2=M5B4ST11NW5%O3=M5B4NNT11NW5%O4=M5B4ST11NW5%O5=M5B4ST11NW5%O6=M5B4ST11,incremental,0
Aethra Starvoice 1042 ADSL router,embedded,Aethra,,broadband router,114,8192,0,O1=M5B4%O2=M578%O3=M200%O4=M5B4%O5=M5B4%O6=M5B4,incremental,0
Aethra Vega X3 teleconference system,embedded,Aethra,,media device,59,5840,0,O1=M5B4%O2=M5B4%O3=M5B4%O4=M5B4%O5=M5B4%O6=M5B4,incremental,0
Agfa DryStar 5500 printer,embedded,Agfa,,printer,59,8760,0,O1=M218%O2=M218%O3=M218%O4=M218%O5=M218%O6=M109,incremental,0
Airaya AI108-4958-O-300 wireless Ethernet bridge,embedded,Airaya,,bridge,59,8192,0,O1=M5B4NW0NNT11%O2=M5B4NW0NNT11%O3=M5B4NW0NNT11%O4=M5B4NW0NNT11%O5=M5B4NW0NNT11%O6=M5B4NNT11,incremental,0
Airlink101 APS MFP210 multi-functional print server,embedded,Airlink101,,print server,27,1460,0,O1=M5B4%O2=M5B4%O3=M5B4%O4=M5B4%O5=M5B4%O6=M5B4,incremental,0
"AirLive WT-2000R, D-Link DI-524 or DI-604, SMC SMC7004VBR, or ZyXEL Prestige 320W broadband router",embedded,AirLive,,WAP,59,5840,0,O1=M5B4%O2=M5B4%O3=M5B4%O4=M5B4%O5=M5B4%O6=M5B4,,0
"AirMagnet SmartEdge wireless sensor; or Foscam FI8904W, FI8910W, or FI8918W, or Instar IN-3010 surveillance camera (Linux 2.4)",embedded,AirMagnet,,specialized,59,1448,1,O1=M5B4ST11NW0%O2=M5B4ST11NW0%O3=M5B4NNT11NW0%O4=M5B4ST11NW0%O5=M5B4ST11NW0%O6=M5B4ST11,constant,0
AirSpan ProST WiMAX access point,embedded,AirSpan,,WAP,58,8192,1,O1=M5B4NW0NNT11%O2=M5B4NW0NNT11%O3=M5B4NW0NNT11%O4=M5B4NW0NNT11%O5=M5B4NW0NNT11%O6=M5B4NNT11,,0
Airvana C1-600-RT signal booster (Linux 2.6.21),embedded,Airvana,,specialized,59,65535,1,O1=NNM460SNW0%O2=NNM460SNW0%O3=M460NW0%O4=NNM460SNW0%O5=NNM460SNW0%O6=NNM460S,incremental,0
AKCP sensorProbe2 remote sensor device,embedded,AKCP,,specialized,123,8192,0,O1=M3F4%O2=M3F4%O3=M3F4%O4=M3F4%O5=M3F4%O6=M3F4,incremental,0
Alaxala AX2400S-series switch,embedded,Alaxala,,switch,59,32768,1,O1=M5B4NW0NNT01%O2=M5B4NW0NNT01%O3=M5B4NW0NNT01%O4=M5B4NW0NNT01%O5=M5B4NW0NNT01%O6=M5B4NNT01,incremental,0
Alcatel SpeedTouch 510 DSL modem,embedded,Alcatel,,broadband router,59,4096,0,O1=M200NW0NNT11%O2=M200NW0NNT11%O3=M200NW0NNT11%O4=M200NW0NNT11%O5=M200NW0NNT11%O6=M200NNT11,incremental,0
Alcatel SpeedTouch Pro ADSL Modem,embedded,Alcatel,,broadband router,59,4096,0,O1=M200NW0NNT11%O2=M200NW0NNT11%O3=M200NW0NNT11%O4=M200NW0NNT11%O5=M200NW0NNT11%O6=M200NNT11,incremental,0
Alcatel 4400 PBX (Chorus MiX V.3.2 r4.1.5 COMP-386),embedded,Alcatel,,PBX,60,4380,1,O1=|M5B4%O2=|M5B4%O3=|M5B4%O4=|M5B4%O5=|M5B4%O6=|M5B4,incremental,0
"Alcatel OmniStack 6024 or Enterasys Vertical Horizon VH-2402S2 switch, or Dell 1815dn or Samsung SCX-6x22 printer",embedded,Alcatel,,switch,59,4096,0,O1=%O2=%O3=%O4=%O5=%O6=,incremental,0
Alcatel OmniSwitch 7000,embedded,Alcatel,,switch,59,8192,0,O1=M5B4%O2=M5B4NW0%O3=M5B4NW0%O4=M5B4%O5=M5B4%O6=M5B4,,0
Alcatel 4035 VoIP phone,embedded,Alcatel,,VoIP phone,25,16000,0,O1=M5B0%O2=M5B0%O3=M5B0%O4=M5B0%O5=M5B0%O6=M5B0,incremental,0
Alcatel OneTouch Y580D Wireless hotspot,embedded,Alcatel,,WAP,250,16384,0,O1=M5B4W0L%O2=M578W0L%O3=M280W0L%O4=M5B4W0L%O5=M218W0L%O6=M109,incremental,0
Alcatel-Lucent OmniPCX Enterprise A4400 PBX,embedded,Alcatel-Lucent,,PBX,59,4380,1,O1=M5B4%O2=M5B4%O3=M5B4%O4=M5B4%O5=M5B4%O6=M5B4,incremental,0
Alcatel-Lucent OmniPCX Enterprise PBX (Linux 2.4.17),embedded,Alcatel-Lucent,,PBX,59,5840,1,O1=M5B4NNSNW0%O2=M5B4NNSNW0%O3=M5B4NW0%O4=M5B4NNSNW0%O5=M5B4NNSNW0%O6=M5B4NNS,constant,0
Alcatel-Lucent OmniPCX GD3 PBX (Linux 2.6.23),embedded,Alcatel-Lucent,,PBX,59,5840,0,O1=M5B4NNSNW4%O2=M5B4NNSNW4%O3=M5B4NW4%O4=M5B4NNSNW4%O5=M5B4NNSNW4%O6=M5B4NNS,incremental,0
Alcatel-Lucent OmniSwitch 6000 switch (firmware 6.3.1),embedded,Alcatel-Lucent,,switch,59,8192,1,O1=M5B4NNT11%O2=M5B4NW0NNT11%O3=M5B4NW0NNT11%O4=M5B4NNT11%O5=M5B4NNT11%O6=M5B4NNT11,,0
Alcatel-Lucent OmniSwitch 6000 switch or Quantum DXi8500 NAS device,embedded,Alcatel-Lucent,,switch,59,8192,1,O1=M5B4NNT11%O2=M5B4NW0NNT11%O3=M5B4NW0NNT11%O4=M5B4NNT11%O5=M5B4NNT11%O6=M5B4NNT11,,0
Alcatel-Lucent OmniSwitch 6850 switch,embedded,Alcatel-Lucent,,switch,59,8192,1,O1=M5B4NW0NNT11%O2=M5B4NW0NNT11%O3=M5B4NW0NNT11%O4=M5B4NW0NNT11%O5=M5B4NW0NNT11%O6=M5B4NNT11,,0
Alcatel-Lucent OmniSwitch 6850 switch,embedded,Alcatel-Lucent,,switch,59,8192,1,O1=M200NNT11%O2=M200NW0NNT11%O3=M200NW0NNT11%O4=M200NNT11%O5=M200NNT11%O6=M200NNT11,,0
Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9),SR OS,Alcatel-Lucent,9.X,router,58,8192,0,O1=M400NW0NNT11%O2=M400NW0NNT11%O3=M400NW0NNT11%O4=M400NW0NNT11%O5=M400NW0NNT11%O6=M400NNT11,incremental,0
Sirio by Alice VoIP phone,embedded,Alice,,VoIP phone,59,5792,0,O1=M5B4ST11NW1%O2=M5B4ST11NW1%O3=M5B4NNT11NW1%O4=M5B4ST11NW1%O5=M5B4ST11NW1%O6=M5B4ST11,incremental,0
Allen Bradley MicroLogix 1100 PLC,embedded,Allen-Bradley,,specialized,123,2048,0,O1=M4000NNS%O2=M4000NNS%O3=M4000NNS%O4=M4000NNS%O5=M4000NNS%O6=M4000NNS,incremental,0
Allen-Bradley 1756 ControlLogix programmable automation controller,embedded,Allen-Bradley,,specialized,59,4096,0,O1=M5B4NW0%O2=M5B4NW0%O3=M5B4NW0%O4=M5B4NW0%O5=M5B4NW0%O6=M5B4,incremental,0
Allen-Bradley 1756-EN2T/C programmable logic controller,embedded,Allen-Bradley,,specialized,59,10000,1,O1=NNM5B4SNW0%O2=NNM5B4SNW0%O3=M5B4NW0%O4=NNM5B4SNW0%O5=NNM5B4SNW0%O6=NNM5B4S,,0
Allen-Bradley PLC-5 programmable logic controller,embedded,Allen-Bradley,,specialized,55,2920,0,O1=M5B4%O2=M5B4%O3=M5B4%O4=M5B4%O5=M5B4%O6=M5B4,incremental,0
"Broadband router (Allied Data CopperJet, Belkin F5D7632-4, Intracom Jetspeed 500i, or Iskratel Sinope568 or Proteus932); or Adva Optical FSP 150CC-825 router",embedded,Allied Data,,broadband router,123,16384,1,O1=M5B4%O2=M578%O3=M280%O4=M218%O5=M218%O6=M109,incremental,0
Allied Telesis AlliedWare version 54291-05,AlliedWare,Allied Telesis,,router,59,1024,0,O1=M400%O2=M400%O3=M280%O4=M400%O5=M218%O6=M109,incremental,0
"Allied Telesis AT-8000S; Dell PowerConnect 2824, 3448, 5316M, or 5324; Linksys SFE2000P, SRW2024, SRW2048, or SRW224G4; or TP-LINK TL-SL3428 switch",embedded,Allied Telesis,,switch,59,512,0,O1=%O2=%O3=%O4=%O5=%O6=,,0
Allied Telesis AT-9000 switch,embedded,Allied Telesis,,switch,250,8192,0,O1=M218%O2=M218%O3=M218%O4=M218%O5=M218%O6=M218,incremental,0
"Allied Telesis AT-9000, AT-FS750, or GS950 switch",embedded,Allied Telesis,,switch,250,8192,0,O1=M5B4%O2=M5B4%O3=M5B4%O4=M5B4%O5=M5B4%O6=M5B4,incremental,0
Allied Telesyn AT-AR300L CentreCOM router,AlliedWare,Allied Telesyn,,router,59,1024,0,O1=M3EC%O2=M3EC%O3=M3EC%O4=M3EC%O5=M3EC%O6=M3EC,incremental,0
Allied Telesyn AT-AR410 router,AlliedWare,Allied Telesyn,,router,59,1024,0,O1=M109%O2=M109%O3=M109%O4=M109%O5=M109%O6=M109,incremental,0
Allied Telesyn AT-AR750s router,AlliedWare,Allied Telesyn,,router,59,1024,0,O1=M400%O2=M400%O3=M280%O4=M400%O5=M218%O6=M109,incremental,0
Allied Telesyn 8326GB switch,embedded,Allied Telesyn,,switch,250,1024,0,O1=M5B4%O2=M5B4%O3=M5B4%O4=M5B4%O5=M5B4%O6=M5B4,incremental,0
Allied Telesyn AT-8326GB or AT8350GB switch.,embedded,Allied Telesyn,,switch,250,1024,0,O1=M5B4%O2=M5B4%O3=M5B4%O4=M5B4%O5=M5B4%O6=M5B4,incremental,0
Allied Telesyn AT-8350GB switch,embedded,Allied Telesyn,,switch,250,1024,0,O1=M5B4%O2=M5B4%O3=M5B4%O4=M5B4%O5=M5B4%O6=M5B4,incremental,0
Allied Telesyn AT-9006SX/SC switch,embedded,Allied Telesyn,,switch,250,1024,0,O1=M5B4%O2=M5B4%O3=M5B4%O4=M5B4%O5=M5B4%O6=M5B4,incremental,0
